"","Time","Signal","Lower","Upper","FStat","pval","R2","Emotion","Condition","Stimulus"
"52",101.935,-0.959607129066369,-1.12313989294653,-0.796074365186206,-4.26603887435114,0.000518323591521866,0.0105919551511783,"Happy","Ekman","Visual"
"53",103.9427,-0.938331994489454,-1.09906514935028,-0.777598839628627,-4.5089472229488,0.000299301771907152,0.0118178476855245,"Happy","Ekman","Visual"
"54",105.9504,-0.906054369280521,-1.0624432099964,-0.749665528564643,-5.00732238419973,9.16870135049401e-05,0.0145346158838167,"Happy","Ekman","Visual"
"55",107.9581,-0.864238781903272,-1.01535384133628,-0.713123722470259,-5.24094254010236,5.40920990040206e-05,0.015900431728641,"Happy","Ekman","Visual"
"56",109.9658,-0.814349760821406,-0.959954324065998,-0.668745197576814,-4.69115633327258,0.000271165624853683,0.0127798251755283,"Happy","Ekman","Visual"
"57",111.9735,-0.757851834498625,-0.89843778368994,-0.617265885307311,-4.21902180425073,0.000518323591521866,0.0103621745735161,"Happy","Ekman","Visual"
"58",113.9812,-0.69620953139863,-0.832964448055309,-0.559454614741951,-3.62963164206478,0.0024433247865316,0.00768995100337044,"Happy","Ekman","Visual"
"59",115.9889,-0.630887379985121,-0.765561141076167,-0.496213618894076,-3.6335544822283,0.0024433247865316,0.00770645413718651,"Happy","Ekman","Visual"
"60",117.9966,-0.563349908721799,-0.698009318706026,-0.428690498737572,-3.27801860351217,0.00617327299425927,0.00628112513264978,"Happy","Ekman","Visual"
"61",120.0043,-0.495061646072366,-0.631768183578224,-0.358355108566508,-2.79809562151946,0.0171949319467749,0.0045843802585448,"Happy","Ekman","Visual"
"62",122.012,-0.42748712050052,-0.567975540489897,-0.286998700511143,-2.61614638712757,0.0245495372020344,0.00400986910872647,"Happy","Ekman","Visual"
"63",124.0197,-0.362090860469964,-0.50752586862867,-0.216655852311258,-2.1469887299992,0.0624189127288347,0.00270417385498101,"Happy","Ekman","Visual"
"64",126.0274,-0.300337394444398,-0.451182399179702,-0.149492389709094,-1.61786756521203,0.160437223339978,0.00153733616948415,"Happy","Ekman","Visual"
"65",128.0351,-0.243691250887523,-0.399676940623113,-0.0877055611519325,-1.17586470877178,0.31113745371697,0.000812667160432934,"Happy","Ekman","Visual"
"66",130.0428,-0.193616958263039,-0.353777703500113,-0.033456213025966,-0.683611305450027,0.585781321541936,0.000274821168409933,"Happy","Ekman","Visual"
"67",132.0505,-0.151579045034648,-0.314330161130557,0.0111720710612614,NA,1,-0.00033853356506941,"Happy","Ekman","Visual"
"68",134.0582,-0.119027593484327,-0.282276287464476,0.0442211004958224,NA,1,-0.000484385594919257,"Happy","Ekman","Visual"
"69",136.0659,-0.0965459149906798,-0.258075185246344,0.0649833552649847,NA,1,-0.000460765241267813,"Happy","Ekman","Visual"
"70",138.0736,-0.0833738260320804,-0.241370854331325,0.0746232022671646,NA,1,-0.000478057611774885,"Happy","Ekman","Visual"
"71",140.0813,-0.0786355736331194,-0.231843962897377,0.0745728156311383,NA,1,-0.000378509324445941,"Happy","Ekman","Visual"
